31.5,,,,,,,,,,,,,,,,,,,,,,
,Core,Date Added,Stock,Setup,"Core 
Execution","Stock 
Execution",VAR,Entry Stop,Entry Limit,Sizing,Cut,-0.5R Cut Loss,Shares,Order Filled,Cancel Order,Picker,Return,7 day % change,Date,1R,2R,
,TRUE,01/13/2025,PSTG,RESET,HOLD,,"10,000.00",,,,,,,FALSE,TRUE,Jeremy,,11.97%, ,0.00,0.00,
,FALSE,01/13/2025,TSLA,Range,HOLD,,"5,000.00",402.51,404.52,369.48,387.00,387.00,160,TRUE,FALSE,Neil,0.00,5.15%,01/13/2025,439.57,474.61,
,TRUE,01/13/2025,ONON,Coil,HOLD,,"10,000.00",57.51,57.80,53.07,55.43,55.43,"2,260",FALSE,TRUE,Paul,,8.25%, ,62.53,67.25,
,FALSE,01/13/2025,KR,RANGE,HOLD,,"5,000.00",59.72,60.02,57.8,58.91,58.91,"2,610",TRUE,FALSE,Jeremy,-0.25,-0.76%,01/13/2025,62.24,64.46,
,FALSE,01/14/2025,CART,Coil,HOLD,Cup and Handle,"10,000.00",45.86,46.09,42.29,44.19,44.19,"2,810",FALSE,TRUE,Ange,,-0.04%, ,49.89,53.69,
,FALSE,01/14/2025,PLNT,Coil,HOLD,,"5,000.00",102.88,103.39,96.93,100.16,100.16,850,TRUE,FALSE,Neil,0.50,3.25%,01/14/2025,109.86,116.32,
,FALSE,01/15/2025,CEG,Momo,ADJUST,,"5,000.00",294.4,295.87,267.82,281.85,281.85,190,FALSE,TRUE,Ange,,10.54%, ,323.92,351.98,
,FALSE,01/15/2025,SN,Reset,HOLD,,"5,000.00",108.6,109.14,99.7,104.42,104.42,570,FALSE,TRUE,Neil,,4.13%, ,118.59,128.03,
,FALSE,01/15/2025,RBRK,Falling Coil,HOLD,,"10,000.00",66.29,66.62,58.54,62.58,62.58,"1,300",TRUE,FALSE,Neil,-0.50,6.92%,01/15/2025,74.70,82.78,
,FALSE,01/16/2025,GOOGL,Bluesky,HOLD,break high,"10,000.00",198.22,199.21,187.36,193.29,193.29,930,FALSE,TRUE,Jeremy,,2.63%, ,211.06,222.91,
,FALSE,01/16/2025,NVDA ,Range,HOLD,,"5,000.00",137.27,137.96,129.51,133.73,133.73,650,FALSE,TRUE,Jeremy,,10.22%, ,146.40,154.85,
,FALSE,01/16/2025,TWLO,Coil,HOLD,,"10,000.00",114.97,115.54,105.53,110.54,110.54,"1,060",TRUE,FALSE,Neil,-0.25,-1.07%,01/16/2025,125.56,135.57,
,FALSE,01/16/2025,BE,Coil,HOLD,,"10,000.00",24.42,24.54,21.57,23.06,23.06,"3,510",TRUE,FALSE,Jeremy,0.00,17.44%,01/16/2025,27.51,30.49,
,FALSE,01/17/2025,ONON,Coil,HOLD,,"10,000.00",56.93,57.21,53.08,55.15,55.15,"2,600",FALSE,TRUE,Neil,,3.74%, ,61.35,65.48,
,TRUE,01/17/2025,MSTR,options,HOLD,,"1,500.00",,,,,,,FALSE,TRUE,Jeremy,,-10.80%, ,0.00,0.00,
,FALSE,01/17/2025,CORZ,Coil,HOLD,,"10,000.00",14.77,14.84,13.18,14.01,14.01,"6,290",FALSE,TRUE,Neil,,6.53%, ,16.51,18.17,
,FALSE,01/21/2025,AVGO,Bluesky,HOLD,,"10,000.00",241.76,242.97,219.51,231.24,231.24,450,FALSE,TRUE,Jeremy,,-13.71%, ,266.43,289.89,
,FALSE,01/21/2025,GOOGL,Bluesky,HOLD,,"10,000.00",198.23,199.22,187.36,193.29,193.29,920,FALSE,TRUE,Miggoy,,-1.39%, ,211.08,222.94,
,FALSE,01/21/2025,HIMS,Coil,HOLD,,"10,000.00",28.69,28.83,24.07,25.55,26.45,"2,170",FALSE,TRUE,Neil,,5.80%, ,33.60,38.36,
,FALSE,01/21/2025,DASH,Coil,HOLD,,"10,000.00",176,176.88,166.41,171.65,171.65,"1,050",FALSE,TRUE,Neil,,3.59%, ,187.35,197.82,
,TRUE,01/22/2025,BILL,Coil,HOLD,,"10,000.00",92.15,92.61,79.43,86.02,86.02,790,TRUE,FALSE,Neil,-0.50,3.70%,01/22/2025,105.79,118.97,
,FALSE,01/22/2025,AVGO,Bluesky,HOLD,,"10,000.00",247.29,248.53,219.51,234.02,234.02,360,FALSE,TRUE,Jeremy,,-14.35%, ,277.54,306.56,
,FALSE,01/22/2025,ASAN,Range,HOLD,,"5,000.00",20.86,20.96,18.43,19.32,19.70,"2,060",TRUE,FALSE,Neil,-0.50,7.37%,01/22/2025,23.50,26.03,
,FALSE,01/23/2025,AAPL,Options,HOLD,,"1,500.00",,,,,,,TRUE,FALSE,Jeremy,-0.25,6.23%,01/23/2025,0.00,0.00,
,FALSE,01/24/2025,APP,Coil,HOLD,,"10,000.00",371.78,373.64,307.07,340.35,340.35,160,FALSE,TRUE,Miggoy,,1.79%, ,440.21,506.78,
,FALSE,01/24/2025,WIX,Pullback,ADJUST,,"5,000.00",240.79,241.99,225.4,233.70,233.70,330,TRUE,FALSE,Neil,-0.25,1.65%,01/24/2025,258.59,275.18,
,FALSE,01/24/2025,AVGO,Bluesky,HOLD,Ascending Triangle,"10,000.00",246.99,248.22,219.99,234.11,234.11,380,TRUE,FALSE,Ange,-1.00,-9.57%,01/24/2025,276.46,304.69,
,FALSE,01/24/2025,FUBO,Range,HOLD,,"5,000.00",4.3,4.32,3.35,3.84,3.84,"5,270",FALSE,TRUE,Jeremy,,0.00%, ,5.29,6.26,
,FALSE,01/29/2025,FUBO,Range,HOLD,,"5,000.00",4.16,4.18,3.48,3.83,3.83,"7,360",TRUE,FALSE,Jeremy,-0.50,9.31%,01/29/2025,4.88,5.58,
,FALSE,01/29/2025,NVDA,Options,HOLD,,"1,500.00",,,,,,,FALSE,TRUE,Jeremy,,0.91%, ,0.00,0.00,
,FALSE,01/30/2025,ANGO,bluesky,HOLD,,"5,000.00",13.14,13.21,11.44,12.32,12.32,"2,950",TRUE,FALSE,Paul,-1.00,-10.91%,01/30/2025,14.97,16.74,
,FALSE,01/30/2025,APP,Coil,HOLD,,"10,000.00",371.78,373.64,316.82,345.23,345.23,190,FALSE,TRUE,Miggoy,,4.14%, ,430.46,487.28,
,FALSE,01/31/2025,BURL,Coil,HOLD,,"5,000.00",300,301.50,282.75,292.12,292.13,290,FALSE,TRUE,Neil,,-8.42%, ,320.25,339.00,
,FALSE,01/31/2025,TIGR,Reset,HOLD,,"10,000.00",7.52,7.56,6,6.78,6.78,"6,580",FALSE,TRUE,Neil,,9.65%, ,9.12,10.67,
,TRUE,02/04/2025,PAYO,Coil,HOLD,,"10,000.00",11.01,11.07,9.9,10.48,10.48,"9,010",TRUE,FALSE,Neil,-0.25,-7.57%,02/04/2025,12.23,13.40,
,FALSE,02/04/2025,KTOS,Pullback,ADJUST,,"5,000.00",33.81,33.98,31.42,32.70,32.70,"2,100",TRUE,FALSE,Jeremy,-0.25,-6.72%,02/04/2025,36.54,39.10,
,FALSE,02/04/2025,RCL,Pullback,ADJUST,,"5,000.00",266.35,267.68,247.42,257.55,257.55,270,TRUE,FALSE,Miggoy,0.00,-2.63%,02/04/2025,287.94,308.21,
,FALSE,02/04/2025,FUBO,Range,HOLD,,"5,000.00",4.3,4.32,3.51,3.92,3.92,"6,330",TRUE,FALSE,Jeremy,-0.25,-18.78%,02/04/2025,5.13,5.94,
,FALSE,02/05/2025,TSLA,Range,HOLD,,"5,000.00",394.01,395.98,374.36,385.17,385.17,260,FALSE,TRUE,Jeremy,,-11.02%, ,417.60,439.22,
,TRUE,02/05/2025,PSTG,Reset,HOLD,,"10,000.00",70.18,70.53,63.5,67.02,67.02,"1,500",TRUE,FALSE,Jeremy,-0.25,-3.87%,02/05/2025,77.56,84.59,
,TRUE,02/05/2025,LULU,Reset,HOLD,,"10,000.00",423.33,425.45,375.8,400.62,400.62,220,FALSE,TRUE,Jeremy,,-4.27%, ,475.09,524.74,
,FALSE,02/05/2025,LNG,Range,HOLD,,"5,000.00",231.85,233.01,221.66,227.33,227.33,500,TRUE,FALSE,Neil,-0.25,-9.22%,02/05/2025,244.36,255.71,
,FALSE,02/05/2025,GRRR,Range,HOLD,,"5,000.00",14.92,14.99,10.85,13.23,12.92,"1,230",TRUE,FALSE,Ange,2.00,54.44%,02/05/2025,19.14,23.28,
,TRUE,02/05/2025,PAY,Falling Coil,HOLD,,"5,000.00",33.01,33.18,29.29,31.23,31.23,"1,350",TRUE,FALSE,Neil,-0.25,-6.25%,02/05/2025,37.06,40.95,
,FALSE,02/06/2025,GOOGL,options,HOLD,,"1,500.00",,,,,,,TRUE,FALSE,Jeremy,-0.25,-2.85%,02/06/2025,0.00,0.00,
,FALSE,02/07/2025,MSFT,range,HOLD,,"5,000.00",418.2,420.29,408.66,414.48,414.48,530,TRUE,FALSE,Jeremy,-0.50,-0.32%,02/07/2025,431.92,443.55,
,TRUE,02/10/2025,AI,Coil,HOLD,,"10,000.00",34.86,35.03,29.4,32.21,32.22,"1,840",TRUE,FALSE,Neil,-0.50,-9.43%,02/10/2025,40.67,46.30,
,TRUE,02/10/2025,FLUT,Reset,HOLD,,"5,000.00",274.29,275.66,258.86,267.25,267.26,330,TRUE,FALSE,Miggoy,0.50,9.28%,02/10/2025,292.46,309.26,
,TRUE,02/11/2025,MSTR,Falling Coil,HOLD,,"10,000.00",340.4,342.10,285.01,313.55,313.56,190,TRUE,FALSE,Jeremy,-0.25,4.54%,02/11/2025,399.19,456.29,
,FALSE,02/11/2025,LUNR,Range,HOLD,,"5,000.00",20.27,20.37,17.66,19.01,19.02,"1,920",FALSE,TRUE,Paul,,11.74%, ,23.08,25.79,
,FALSE,02/13/2025,CRM,Range,HOLD,,"5,000.00",327.01,328.65,313.8,321.21,321.22,380,TRUE,FALSE,Neil,-0.25,-3.46%,02/13/2025,343.49,358.34,
,FALSE,02/13/2025,LUNR,Range,ADJUST,,"5,000.00",19.78,19.88,17.56,18.71,18.72,"2,260",TRUE,FALSE,Paul,-0.25,2.92%,02/13/2025,22.20,24.52,
,FALSE,02/13/2025,MNMD,Pullback,ADJUST,,"5,000.00",8.68,8.72,7.8,8.25,8.26,"5,690",TRUE,FALSE,Neil,-0.25, ,02/13/2025,9.65,10.57,
,TRUE,02/14/2025,GOOGL,Options,HOLD,,"5,000.00",,,,,,,FALSE,TRUE,Ange,,-3.01%, ,0.00,0.00,
,TRUE,02/14/2025,BE,Reset,HOLD,,"10,000.00",25.61,25.74,20.44,23.09,23.09,"1,940",TRUE,FALSE,Neil,-0.25,-4.88%,02/14/2025,31.04,36.33,
,FALSE,02/14/2025,SOFI,Range,HOLD,,"5,000.00",15.51,15.59,14.42,15.00,15.00,"4,590",TRUE,FALSE,Neil,0.50,-9.50%,02/14/2025,16.76,17.92,
,FALSE,02/14/2025,AMZN,Range,HOLD,,"5,000.00",231.19,232.35,225.38,228.86,228.86,870,FALSE,TRUE,Paul,,-5.29%, ,239.31,246.28,
,TRUE,02/14/2025,RR,Reset,HOLD,,"10,000.00",3.41,3.43,2.1,2.76,2.76,"7,640",FALSE,TRUE,Neil,,-19.27%, ,4.75,6.08,
,TRUE,02/14/2025,PDYN,Reset,HOLD,,"10,000.00",11.26,11.32,7.79,9.68,9.55,"2,890",FALSE,TRUE,Ange,,-14.16%, ,14.84,18.37,
,FALSE,02/18/2025,CRM,Range,HOLD,,"5,000.00",330.35,332.00,316.97,324.49,324.49,380,FALSE,TRUE,Neil,,-7.02%, ,347.03,362.07,
,FALSE,02/18/2025,LUNR,Range,HOLD,,"5,000.00",20.27,20.37,17.57,18.97,18.97,"1,860",FALSE,TRUE,Neil,,-24.03%, ,23.17,25.97,
,TRUE,02/18/2025,RCL,Bluesky,HOLD,,"10,000.00",267.15,268.49,244.17,256.33,256.33,440,FALSE,TRUE,Jeremy,,-9.26%, ,292.80,317.12,
,FALSE,02/19/2025,CFLT,Pullback,ADJUST,,"5,000.00",35.76,35.94,33,34.47,34.47,"1,820",FALSE,TRUE,Jeremy,, , ,38.88,41.82,
,FALSE,02/19/2025,UPST,MOMO,ADJUST,,"5,000.00",89.64,90.09,77.07,83.58,83.58,400,FALSE,TRUE,Jeremy,,-17.24%, ,103.11,116.12,
,FALSE,02/19/2025,MRVL,Range,HOLD,,"5,000.00",109.02,109.57,100.22,104.89,104.89,570,FALSE,TRUE,Ange,,-14.54%, ,118.91,128.26,
,FALSE,02/20/2025,RDDT,Range,HOLD,,"5,000.00",193.4,194.37,180.35,187.36,187.36,390,FALSE,TRUE,Jeremy,,-8.93%, ,208.38,222.40,
,TRUE,02/20/2025,QCOM,Reset cheat,HOLD,,"10,000.00",177,177.89,165.4,171.64,171.64,870,FALSE,TRUE,Jeremy,,-11.09%, ,190.37,202.86,
,FALSE,02/20/2025,MSFT,options,HOLD,Options,"5,000.00",,,,,,,TRUE,FALSE,Jeremy,-0.50,-5.67%,02/20/2025,0.00,0.00,
,TRUE,02/20/2025,QBTS,Reset,HOLD,,"5,000.00",7.11,7.15,4.65,5.90,5.90,"2,040",FALSE,TRUE,Ange,,-24.76%, ,9.64,12.14,
,FALSE,02/25/2025,LULU,Range,HOLD,,"5,000.00",374.42,376.29,347.54,361.92,361.92,190,FALSE,TRUE,Jeremy,,-5.84%, ,405.04,433.80,
,FALSE,02/26/2025,SOFI,Range,HOLD,,"5,000.00",14.28,14.35,13,13.68,13.68,"3,910",TRUE,FALSE,Miggoy,-0.50,-7.19%,02/26/2025,15.70,17.05,
,TRUE,02/26/2025,DIS,Reset,HOLD,Probe,"5,000.00",112,112.56,106.16,109.36,109.36,860,TRUE,FALSE,Miggoy,0.00,-2.25%,02/26/2025,118.96,125.36,
,FALSE,02/26/2025,UPWK,Range,HOLD,,"5,000.00",15.95,16.03,14.85,15.44,15.44,"4,550",TRUE,FALSE,Miggoy,-0.50,-4.17%,02/26/2025,17.21,18.39,
,FALSE,02/26/2025,EAT,Range,HOLD,,"5,000.00",157.08,157.87,143.35,150.61,150.61,370,FALSE,TRUE,Ange,,-6.20%, ,172.38,186.90,
,FALSE,02/27/2025,NFLX,Pullback,HOLD,,"5,000.00",1001,"1,006.01",951,978.50,978.50,100,FALSE,TRUE,Miggoy,,-5.89%, ,"1,061.01","1,116.02",
,FALSE,02/27/2025,JPM,Range,HOLD,,"5,000.00",263.01,264.33,253.35,258.84,258.84,520,TRUE,FALSE,Miggoy,-0.50,-4.83%,02/27/2025,275.30,286.28,
,FALSE,02/27/2025,FTNT,Pullback,HOLD,,"5,000.00",110.3,110.85,105.78,108.32,108.32,"1,110",TRUE,FALSE,Paul,-0.50,-5.01%,02/27/2025,115.92,120.99,
,FALSE,03/03/2025,SOFI,Range,HOLD,,"5,000.00",14.75,14.82,13.41,14.12,14.12,"3,740",TRUE,FALSE,Jeremy,-0.50,-17.61%,03/03/2025,16.24,17.65,
,FALSE,03/03/2025,MAR,Range ,HOLD,,"5,000.00",283.23,284.65,269.71,277.18,277.18,370,TRUE,FALSE,Jeremy,-0.50,-7.38%,03/03/2025,299.58,314.52,
,FALSE,03/03/2025,IBKR,Range,HOLD,,"5,000.00",207,208.04,190.65,199.34,199.34,310,FALSE,TRUE,Paul,,-17.05%, ,225.42,242.81,
,FALSE,03/03/2025,HIMS,Range,HOLD,,"5,000.00",46.1,46.33,36.01,41.17,41.17,500,TRUE,FALSE,Jeremy,-0.50,-15.27%,03/03/2025,56.65,66.97,
,FALSE,03/05/2025,NFLX,Range,HOLD,,"5,000.00",987.35,992.29,941.76,967.02,967.02,110,TRUE,FALSE,Paul,-0.25,-7.19%,03/05/2025,"1,042.81","1,093.34",
,FALSE,03/06/2025,WMT,Range,HOLD,,"5,000.00",97.06,97.55,91.41,94.48,94.48,890,FALSE,TRUE,Jeremy,,-10.71%, ,103.68,109.82,668
,FALSE,03/06/2025,IBKR,Range,HOLD,,"5,000.00",199.94,200.94,186,193.47,193.47,360,FALSE,TRUE,Paul,,-15.12%, ,215.88,230.82,270
,FALSE,03/06/2025,HIMS,Range,HOLD,,"5,000.00",42.2,42.41,33.1,37.76,37.76,550,FALSE,TRUE,Jeremy,,-8.29%, ,51.72,61.03,413
,FALSE,03/06/2025,META,Range,HOLD,,"5,000.00",659.51,662.81,623.64,643.22,643.22,140,FALSE,TRUE,Jeremy,,-5.94%, ,701.98,741.14,105
,FALSE,03/06/2025,PLTR,Range,HOLD,,"5,000.00",93.81,94.28,74.86,84.57,84.57,270,FALSE,TRUE,Jeremy,,-1.04%, ,113.70,133.12,203
,TRUE,03/10/2025,IBKR,Range,HOLD,Shares,"5,000.00",194.56,195.53,171.1,182.31,183.32,220,FALSE,TRUE,Paul,,4.33%, ,219.97,244.40,
,FALSE,03/10/2025,GOOGL,Range,HOLD,,"5,000.00",175.01,175.89,165.8,170.84,170.84,550,FALSE,TRUE,Neil,,-0.95%, ,185.97,196.06,
,FALSE,03/10/2025,XYL,Reversal,HOLD,,"5,000.00",131.42,132.08,125,128.57,128.54,780,FALSE,TRUE,Neil,,-4.03%, ,139.15,146.23,
,FALSE,03/12/2025,TQQQ,Capitulation,HOLD,Options. Half-half execution,"5,000.00",,,,,,,TRUE,FALSE,Paul,0.00,1.80%,03/12/2025,0.00,0.00,
,FALSE,03/13/2025,TQQQ,Capitulation,HOLD,Add half,"2,500.00",,,,,,,TRUE,FALSE,Paul,0.00,6.57%,03/13/2025,0.00,0.00,
,TRUE,03/13/2025,GLD,Coil,HOLD,,"10,000.00",272.22,273.58,261.25,267.09,267.42,920,TRUE,FALSE,Neil,1.00,2.04%,03/13/2025,285.91,298.24,
,FALSE,03/13/2025,JD,Range,HOLD,Range,"5,000.00",40.68,40.88,37.84,39.36,39.36,"1,770",TRUE,FALSE,Ange,0.50,4.22%,03/13/2025,43.93,46.97,
,TRUE,03/17/2025,BABA,Bluesky,HOLD,,"10,000.00",145.37,146.10,126.1,136.09,136.10,520,TRUE,FALSE,Neil,-0.50,-8.87%,03/17/2025,166.09,186.09,
,TRUE,03/17/2025,BE,Reset,HOLD,,"10,000.00",25.87,26.00,21.59,23.78,23.79,"2,340",TRUE,FALSE,Neil,-0.25,-4.80%,03/17/2025,30.41,34.82,
,FALSE,03/17/2025,LNG,range,HOLD,,"5,000.00",220.45,221.55,206.6,214.07,214.08,370,TRUE,FALSE,Neil,0.50,4.97%,03/17/2025,236.50,251.46,
,FALSE,03/17/2025,SE,range,HOLD,,"5,000.00",130.01,130.66,120,125.32,125.33,500,TRUE,FALSE,Miggoy,-0.25,-2.38%,03/17/2025,141.32,151.98,
,FALSE,03/17/2025,SOFI,range,HOLD,,"5,000.00",12.37,12.43,10.85,11.63,11.64,"3,290",TRUE,FALSE,Neil,-0.25,11.36%,03/17/2025,14.01,15.60,
,FALSE,03/18/2025,NVDA,Range,HOLD,SHORT,"5,000.00",118.02,117.43,126.35,121.89,121.89,-610,TRUE,FALSE,Miggoy,0.00,4.56%,03/18/2025,108.51,99.59,
,TRUE,03/20/2025,GENI,Reset,HOLD,,"10,000.00",9.83,9.88,8.76,9.31,9.32,"9,350",TRUE,FALSE,Neil,0.50,7.86%,03/20/2025,11.00,12.12,
,FALSE,03/20/2025,UBER,Range,HOLD,,"5,000.00",73.82,74.19,70.33,72.25,72.26,"1,440",TRUE,FALSE,Neil,-0.25,0.69%,03/20/2025,78.05,81.91,
,FALSE,03/20/2025,ONON,range,HOLD,,"5,000.00",48.37,48.61,44,46.30,46.31,"1,150",FALSE,TRUE,Jeremy,,0.97%, ,53.22,57.84,
,FALSE,03/21/2025,TNA,Range,HOLD,short,"5,000.00",31.24,31.08,33.92,32.50,32.50,"-1,870",FALSE,TRUE,Paul,,-5.59%, ,28.25,25.41,
,FALSE,03/24/2025,SE,Range,HOLD,,"5,000.00",127.68,128.32,120.81,124.56,124.56,730,FALSE,TRUE,Paul,,0.78%, ,135.83,143.34,
,FALSE,03/24/2025,ERJ,pullback,HOLD,,"5,000.00",53.26,53.53,50.48,52.00,52.00,"1,800",FALSE,TRUE,Paul,, , ,56.57,59.62,
,TRUE,03/24/2025,OKTA,bluesky,HOLD,,"10,000.00",117,117.59,110.64,114.11,114.11,"1,580",TRUE,FALSE,Paul,-0.25,-9.59%,03/24/2025,124.53,131.48,
,FALSE,03/24/2025,PLTR,Range,HOLD,,"5,000.00",93.63,94.10,74.56,84.33,84.33,270,TRUE,FALSE,Neil,-0.25,-12.76%,03/24/2025,113.64,133.17,
,TRUE,03/24/2025,DOCU,Reset,HOLD,,"10,000.00",88.71,89.15,80.74,84.95,84.95,"1,260",TRUE,FALSE,Neil,-0.25,-8.54%,03/24/2025,97.57,105.98,
,FALSE,03/24/2025,HIMS,range,HOLD,,"5,000.00",35.7,35.88,27.59,31.73,31.73,620,TRUE,FALSE,Jeremy,-0.25,-21.01%,03/24/2025,44.17,52.46,
,TRUE,03/26/2025,BABA,Range,HOLD,,"5,000.00",136.25,136.93,126.1,131.52,131.52,500,TRUE,FALSE,Paul,-0.25,-1.85%,03/26/2025,147.76,158.59,
,FALSE,03/26/2025,JD,Range,HOLD,,"5,000.00",42.62,42.83,40.49,41.66,41.66,"2,350",TRUE,FALSE,Paul,-0.25,-1.65%,03/26/2025,45.18,47.52,
,TRUE,03/28/2025,SE,RESET,HOLD,140,"10,000.00",136,136.68,125.45,131.06,131.07,950,FALSE,TRUE,Jeremy,,-18.40%, ,147.91,159.14,
,FALSE,04/02/2025,UBER,Range,HOLD,,"5,000.00",73.31,73.68,70,71.84,71.84,"1,520",TRUE,FALSE,Jeremy,-1.00,-2.44%,04/02/2025,77.35,81.03,
,TRUE,04/02/2025,SE,Coil,HOLD,,"10,000.00",133.6,134.27,124.55,129.41,129.41,"1,110",TRUE,FALSE,Miggoy,-1.00,-11.51%,04/02/2025,143.99,153.70,
,TRUE,04/23/2025,PLTR,Coil,HOLD,,"10,000.00",99,99.50,80.92,90.20,90.21,560,TRUE,FALSE,Neil,1.00,17.48%,04/23/2025,118.07,136.65,
,FALSE,05/02/2025,TSLA,Reversal,HOLD,,"10,000.00",308,309.54,259.62,284.58,284.58,210,FALSE,TRUE,Jeremy,,3.85%, ,359.46,409.38,
,TRUE,05/08/2025,HOOD,Reset,HOLD,,"10,000.00",51.31,51.57,44.97,48.27,48.27,"1,580",FALSE,TRUE,Miggoy,,12.22%, ,58.16,64.76,
,FALSE,05/09/2025,TSLA,Reversal,HOLD,,"10,000.00",295,296.48,271,283.74,283.74,420,TRUE,FALSE,Miggoy,1.50,17.34%,05/09/2025,321.95,347.43,
,TRUE,05/21/2025,GLD,Flat Coil,HOLD,For exposure,"10,000.00",317.63,319.22,291.78,305.50,305.50,390,TRUE,FALSE,Miggoy,-0.25,-0.66%,05/21/2025,346.66,374.09,
,TRUE,05/23/2025,EAT,Reset,HOLD,,"10,000.00",152.82,153.58,135,144.29,144.29,570,TRUE,FALSE,Neil,1.00,11.71%,05/23/2025,172.17,190.75,
,FALSE,05/26/2025,SLV,Coil/reset,HOLD,,"5,000.00",30.63,30.78,29,29.88,29.89,"3,070",FALSE,TRUE,Paul,,4.50%, ,32.57,34.35,
,FALSE,05/26/2025,ACHR,PB,HOLD,,"5,000.00",10.86,10.91,9.43,10.16,10.17,"3,500",FALSE,TRUE,Jeremy,,-10.90%, ,12.40,13.88,
,FALSE,05/26/2025,TOST,Pullback,HOLD,,"5,000.00",43.13,43.35,39.75,41.54,41.55,"1,480",TRUE,FALSE,Paul,-0.25,0.58%,05/26/2025,46.94,50.54,
,TRUE,05/28/2025,INOD,Reset,HOLD,,"10,000.00",41.95,42.16,33.61,37.87,37.88,"1,200",FALSE,TRUE,Neil,,14.31%, ,50.71,59.26,
,TRUE,05/28/2025,SCCO,Reversal,HOLD,,"10,000.00",95.48,95.96,88.54,92.24,92.25,"1,450",FALSE,TRUE,Neil,,2.17%, ,103.37,110.79,
,TRUE,05/28/2025,LMND,Reversal,HOLD,,"10,000.00",34,34.17,28.7,31.43,31.44,"1,890",TRUE,FALSE,Miggoy,1.00,10.21%,05/28/2025,39.64,45.11,
,TRUE,06/02/2025,PLTR,Reset,HOLD,,"10,000.00",133.5,134.17,110.16,122.16,122.16,430,TRUE,FALSE,Miggoy,-0.50,0.02%,06/02/2025,158.18,182.18,
