,,,,,,,,,,,,,,,,,,,
,Core,Date Added,Stock,Setup,"Core 
Execution","Stock 
Execution",VAR,Entry Stop,Entry Limit,Sizing,Cut,-0.5R Cut Loss,Shares,Order Filled,Cancel Order,Picker,Return,7 day % change,
,FALSE,01/22/2024,PATH,Range,ODL,,"7,500.00",22.42,22.53,20.80,21.54,21.67,"4,630",FALSE,TRUE,Neil,,2.98%, 
,TRUE,01/22/2024,CRSP,Coil,ODL,"probe+safety stop, laban, ODL","7,500.00",63.01,63.33,55.21,59.69,59.27,970,TRUE,FALSE,Neil,-0.25,0.80%,01/22/2024
,FALSE,01/22/2024,TNA,Range,ODL,,"7,500.00",34.78,34.95,31.78,32.62,33.37,"2,500",FALSE,TRUE,Miggoy,,3.89%, 
,TRUE,01/22/2024,CERT,Range,ODL,illiquid,"3,750.00",16.25,16.33,15.29,15.69,15.81,"3,910",FALSE,TRUE,Miggoy,,0.24%, 
,TRUE,01/23/2024,CVS,Options,LABAN,,"1,000.00",,,,,,,FALSE,TRUE,Jeremy,,-1.66%, 
,FALSE,01/23/2024,XLB,Range,ODL,,"7,500.00",82.63,83.04,80.91,81.75,81.98,"4,370",FALSE,TRUE,Monette,,0.68%, 
,FALSE,01/24/2024,CCJ,pullback,LABAN,Options,"3,750.00",,,,,,,TRUE,FALSE,Neil,-0.50,0.65%,01/24/2024
,FALSE,01/24/2024,TSM,Momentum,SINA,,"3,750.00",115.16,115.74,112.49,113.15,114.11,"1,410",FALSE,TRUE,Paul,,-3.06%, 
,TRUE,01/25/2024,OPRA,Reversal,LABAN,Probe,"3,750.00",11.25,11.31,9.99,10.35,10.65,"2,980",FALSE,TRUE,Miggoy,,4.22%, 
,FALSE,01/26/2024,PINS,Coil,ODL,,"7,500.00",38.01,38.20,35.45,36.49,36.83,"2,930",FALSE,TRUE,Neil,,5.44%, 
,TRUE,01/26/2024,MIR,Range,ODL,,"3,750.00",9.75,9.80,9.23,9.45,9.51,"7,220",TRUE,FALSE,Neil,-0.25,2.52%,01/26/2024
,TRUE,01/29/2024,CVNA,Range,ODL,je,"7,500.00",43.21,43.43,37.19,40.61,40.31,"1,250",FALSE,TRUE,Jeremy,,-2.49%, 
,TRUE,01/29/2024,DUOL,Range,ODL,,"3,750.00",196.68,197.66,182.70,189.61,190.18,270,TRUE,FALSE,Neil,-0.25,-7.53%,01/29/2024
,FALSE,01/29/2024,METC,Range,ODL,,"3,750.00",19.01,19.11,17.48,17.97,18.29,"2,460",TRUE,FALSE,Neil,-0.25,-9.11%,01/29/2024
,TRUE,01/29/2024,MNST,Range,ODL,je,"7,500.00",55.70,55.98,54.00,54.72,54.99,"4,420",TRUE,FALSE,Jeremy,-0.25,-0.85%,01/29/2024
,FALSE,01/29/2024,ZIM,Cheat,ODL,,"7,500.00",14.41,14.48,12.00,12.71,13.24,"3,120",FALSE,TRUE,Paul,,-8.79%, 
,TRUE,01/30/2024,IOT,Range,ODL,Je,"7,500.00",32.33,32.49,29.80,30.88,31.15,"2,970",FALSE,TRUE,Miggoy,,-1.15%, 
,TRUE,01/30/2024,CRSP,Coil,ODL,safety stop,"7,500.00",68.49,68.83,55.21,60.01,62.02,570,TRUE,FALSE,Neil,0.50,3.72%,01/30/2024
,FALSE,01/30/2024,EXPE,Coil,ODL,,"7,500.00",155.61,156.39,144.28,150.43,150.33,670,FALSE,TRUE,Neil,,1.31%, 
,TRUE,01/31/2024,IOT,Range,ODL,,"7,500.00",32.61,32.77,30.64,31.48,31.71,"3,810",TRUE,FALSE,Miggoy,0.00,3.22%,01/31/2024
,TRUE,02/01/2024,QCOM ,pullback,ODL,,"7,500.00",150.17,150.92,142.32,144.33,146.62,960,TRUE,FALSE,Jeremy,0.00,5.01%,02/01/2024
,TRUE,02/01/2024,TTWO,pullback,TODL,,"3,750.00",166.86,167.69,163.57,164.32,165.63,"1,140",TRUE,FALSE,Miggoy,0.00,1.97%,02/01/2024
,TRUE,02/01/2024,AMAT,pullback/range,TODL,,"7,500.00",166.63,167.46,160.95,160.95,164.21,"1,330",TRUE,FALSE,Paul,0.00,4.14%,02/01/2024
,FALSE,02/01/2024,AMD,pullback/range,TODL,,"7,500.00",171.31,172.17,162.55,162.55,167.36,860,TRUE,FALSE,Paul,0.00,-0.66%,02/01/2024
,TRUE,02/01/2024,GEHC,falling coil,ODL,,"7,500.00",74.53,74.90,71.30,72.94,73.10,"2,330",FALSE,TRUE,Miggoy,,10.37%, 
,TRUE,02/02/2024,QCOM,Range,ODL,,"7,500.00",143.92,144.64,137.35,139.32,140.99,"1,150",TRUE,FALSE,Miggoy,2.00,6.57%,02/02/2024
,FALSE,02/02/2024,SOXL,Pullback,ODL,,"7,500.00",32.73,32.89,29.80,31.19,31.35,"2,560",TRUE,FALSE,Paul,0.50,16.85%,02/02/2024
,FALSE,02/02/2024,AAPL,Range ,LABAN,options,"3,750.00",,,,,,,TRUE,FALSE,Jeremy,1.00,1.61%,02/02/2024
,TRUE,02/02/2024,PSTG,pullback,ODL,,"3,750.00",40.95,41.15,39.29,39.79,40.22,"2,260",FALSE,TRUE,Neil,,5.92%, 
,FALSE,02/02/2024,TOL,Coil,ODL,,"7,500.00",102.10,102.61,95.45,98.68,99.03,"1,130",FALSE,TRUE,Neil,,0.84%, 
,TRUE,02/05/2024,QCOM,Range,ODL,,"3,750.00",142.15,142.86,137.35,139.25,140.11,790,FALSE,TRUE,Miggoy,,6.30%, 
,TRUE,02/05/2024,CVNA,falling coil,ODL,,"7,500.00",44.45,44.67,38.00,40.43,41.34,"1,170",FALSE,TRUE,Paul,,26.21%, 
,FALSE,02/05/2024,XHB,Coil,ODL,,"7,500.00",97.50,97.99,92.67,94.11,95.33,"1,560",TRUE,FALSE,Neil,0.00,5.90%,02/05/2024
,FALSE,02/05/2024,XP,Coil in reset,ODL,,"7,500.00",26.79,26.92,24.00,24.88,25.46,"2,690",FALSE,TRUE,Neil,,-1.03%, 
,TRUE,02/06/2024,NXT,Momentum ,SINA,,"3,750.00",57.17,57.46,54.17,55.85,55.81,"1,250",FALSE,TRUE,Paul,,3.37%, 
,TRUE,02/07/2024,NXT,Momentum,SINA,,"3,750.00",56.25,56.54,51.63,53.84,54.08,820,FALSE,TRUE,Paul,,9.87%, 
,TRUE,02/08/2024,VNM,Reversal,ODL,,"3,750.00",13.15,13.22,12.35,12.61,12.78,"4,690",TRUE,FALSE,Neil,0.00,0.00%,02/08/2024
,FALSE,02/08/2024,META,momentum,SINA,,"3,750.00",471.53,473.89,453.00,465.80,463.44,210,FALSE,TRUE,Neil,,2.99%, 
,FALSE,02/08/2024,AMD,range,ODL,tighten,"7,500.00",172.98,173.84,162.55,168.19,168.20,720,TRUE,FALSE,Paul,0.00,4.38%,02/08/2024
,FALSE,02/08/2024,COIN,range (change to falling coil),ODL,,"7,500.00",125.19,125.82,103.08,114.50,114.45,340,FALSE,TRUE,Paul,,24.99%, 
,FALSE,02/09/2024,META,momentum,SINA,,"3,750.00",471.53,473.89,453.00,465.80,463.44,210,FALSE,TRUE,Miggoy,,1.11%, 
,FALSE,02/09/2024,CYRX,Reversal,ODL,,"3,750.00",16.16,16.24,14.00,15.25,15.12,"1,740",TRUE,FALSE,Miggoy,-0.50,-1.26%,02/09/2024
,TRUE,02/09/2024,GEHC,momentum,SINA,,"3,750.00",82.52,82.93,80.17,81.60,81.55,"1,600",TRUE,FALSE,Miggoy,-0.25,5.75%,02/09/2024
,TRUE,02/09/2024,NXT,momentum,SINA,,"3,750.00",57.85,58.14,53.85,56.72,55.99,940,TRUE,FALSE,Miggoy,0.00,3.86%,02/09/2024
,FALSE,02/12/2024,IWM,OPTIONS,LABAN,,"7,500.00",,,,,,,TRUE,FALSE,Neil,-0.50,-2.01%,02/12/2024
,TRUE,02/12/2024,TTWO,OPTIONS,LABAN,,"3,750.00",,,,,,,TRUE,FALSE,Miggoy,-0.25,-2.14%,02/12/2024
,TRUE,02/12/2024,CVNA,OPTIONS,LABAN,Major reversal,"3,750.00",,,,,,,TRUE,FALSE,Miggoy,-0.25,-6.28%,02/12/2024
,FALSE,02/13/2024,EW,Pullback,TODL,half var since pullback,"3,750.00",87.48,87.92,83.72,84.43,85.82,"1,000",TRUE,FALSE,Neil,-0.25,0.74%,02/13/2024
,FALSE,02/14/2024,PLTR,pullback,SINA,,"3,750.00",24.67,24.79,21.88,23.30,23.34,"1,350",TRUE,FALSE,Paul,0.00,-9.73%,02/14/2024
,FALSE,02/15/2024,PLTR,MOMO,TODL,,"3,750.00",25.54,25.67,22.49,23.75,24.08,"1,230",FALSE,TRUE,Jeremy,,-7.16%, 
,FALSE,02/15/2024,TSM,PULLBACK,ODL,Tight,"3,750.00",130.80,131.45,125.52,127.95,128.49,720,FALSE,TRUE,Jeremy,,0.03%, 
,FALSE,02/15/2024,CYRX,COIL,ODL,safety stop,"3,750.00",16.49,16.57,13.97,15.04,15.27,"1,490",TRUE,FALSE,Neil,-0.25,-1.42%,02/15/2024
,FALSE,02/16/2024,XBI,Reversal,ODL,,"7,500.00",94.33,94.80,86.00,89.38,90.40,910,TRUE,FALSE,Neil,1.50,1.72%,02/16/2024
,TRUE,02/16/2024,TTWO,Range,LABAN,options,"3,750.00",,,,,,,FALSE,TRUE,Miggoy,,-1.55%, 
,FALSE,02/22/2024,AAPL,Range,ODL,,"7,500.00",182.90,183.81,177.50,179.99,180.66,"1,390",FALSE,TRUE,Miggoy,,-1.96%, 
,TRUE,02/22/2024,PLTR,Range,TODL,,"7,500.00",22.94,23.05,21.64,22.28,22.35,"5,770",FALSE,TRUE,Neil,,6.32%, 
,TRUE,02/22/2024,CVS,Reset Cheat,ODL,,"7,500.00",78.31,78.70,74.44,76.16,76.57,"1,940",FALSE,TRUE,Neil,,-3.54%, 
,TRUE,02/22/2024,GTLB,Range,ODL,,"7,500.00",68.10,68.44,65.00,68.08,66.72,"2,420",FALSE,TRUE,Miggoy,,3.61%, 
,FALSE,02/22/2024,MSFT,Range,ODL,,"7,500.00",404.50,406.52,391.78,397.21,399.15,590,FALSE,TRUE,Miggoy,,0.48%, 
,FALSE,02/23/2024,ZIM,Reversal,LABAN,Probe,"3,750.00",12.97,13.03,11.55,12.00,12.29,"2,650",FALSE,TRUE,Miggoy,,-2.52%, 
,TRUE,02/23/2024,CELH,Options,LABAN,,"1,000.00",,,,,,,FALSE,TRUE,Miggoy,,23.76%, 
,FALSE,02/23/2024,AAPL,Range,ODL,,"7,500.00",185.01,185.94,180.00,182.45,182.97,"1,500",FALSE,TRUE,Jeremy,,-1.57%, 
,FALSE,02/23/2024,HOOD,Reversal,ODL,,"3,750.00",14.37,14.44,12.76,13.38,13.60,"2,330",TRUE,FALSE,Neil,1.50,14.50%,02/23/2024
,TRUE,02/23/2024,MDB,Range,ODL,,"7,500.00",454.43,456.70,424.13,435.77,440.42,250,TRUE,FALSE,Monette,-0.25,-3.25%,02/23/2024
,FALSE,02/27/2024,SOFI,Reset,ODL,,"3,750.00",8.70,8.74,7.50,8.15,8.12,"3,130",FALSE,TRUE,Neil,,-20.55%, 
,FALSE,02/28/2024,RVLV,Reversal,ODL,Safety stop,"3,750.00",19.00,19.10,15.87,17.04,17.48,"1,200",FALSE,TRUE,Miggoy,,-0.52%, 
,FALSE,02/28/2024,AMD,bluesky,ODL,,"7,500.00",184.93,185.85,161.81,172.48,173.83,330,TRUE,FALSE,Neil,1.00,19.31%,02/28/2024
,FALSE,02/28/2024,ZIM,Range,ODL,,"7,500.00",13.00,13.07,11.60,12.26,12.33,"5,360",TRUE,FALSE,Neil,-0.50,-10.36%,02/28/2024
,FALSE,02/28/2024,AAPL,Range,ODL,options or shrs,"7,500.00",183.93,184.85,177.50,179.55,181.17,"1,170",FALSE,TRUE,Jeremy,,-6.78%, 
,FALSE,02/28/2024,TMUS,Coil,ODL,,"7,500.00",165.96,166.79,159.22,162.93,163.00,"1,120",FALSE,TRUE,Neil,,2.21%, 
,FALSE,02/29/2024,AMKR,Reversal,ODL,,"3,750.00",31.05,31.21,29.27,29.80,30.24,"2,110",TRUE,FALSE,Neil,1.50,16.34%,02/29/2024
,TRUE,03/01/2024,QCOM,Reset (VCP),ODL,,"7,500.00",159.21,160.01,148.89,156.17,154.45,730,TRUE,FALSE,Miggoy,0.50,4.59%,03/01/2024
,TRUE,03/01/2024,MELI,Range,ODL,,"3,750.00","1,614.86","1,622.93","1,568.65","1,584.12","1,595.79",90,FALSE,TRUE,Miggoy,,-6.22%, 
,TRUE,03/01/2024,ARDX,Coil,ODL,,"3,750.00",9.86,9.91,8.15,9.20,9.03,"2,200",FALSE,TRUE,Miggoy,,-6.96%, 
,TRUE,03/01/2024,SMCI,Pullback,TODL,,"7,500.00",890.53,894.98,766.94,838.99,830.96,70,TRUE,FALSE,Miggoy,2.00,25.90%,03/01/2024
,FALSE,03/04/2024,IWM,Reversal,LABAN,options,"3,750.00",,,,,,,FALSE,TRUE,Neil,,-0.25%, 
,TRUE,03/04/2024,COIN,momentum,SINA,or IBIT?,"3,750.00",212.23,213.29,193.87,196.00,203.58,210,FALSE,TRUE,Neil,,10.92%, 
,FALSE,03/05/2024,SOXS,capitulation,ODL,,"1,000.00",3.40,3.42,2.50,2.50,2.96,"1,120",TRUE,FALSE,Paul,-0.25,-8.82%,03/05/2024
,FALSE,03/05/2024,KRE,reversal short,ODL,options,"7,500.00",,,,,,,TRUE,FALSE,Paul,-0.25,-1.39%,03/05/2024
,TRUE,03/06/2024,NXT,Range 20D ,ODL,Tighten,"7,500.00",57.90,58.19,53.84,56.50,56.01,"1,850",TRUE,FALSE,Paul,-0.25,3.52%,03/06/2024
,TRUE,03/06/2024,PSTG,Momo,SINA,,"3,750.00",57.07,57.36,53.97,56.10,55.66,"1,210",TRUE,FALSE,Paul,-0.25,-11.15%,03/06/2024
,TRUE,03/08/2024,SYM,COIL,ODL,,"3,750.00",43.51,43.73,37.10,40.74,40.41,590,FALSE,TRUE,Jeremy,,1.66%, 
,FALSE,03/08/2024,ENPH,Reversal,ODL,,"7,500.00",138.22,138.91,119.15,126.01,129.03,400,FALSE,TRUE,Neil,,-17.31%, 
,TRUE,03/08/2024,LVS,Range,ODL,,"7,500.00",51.61,51.87,49.97,50.59,50.92,"4,580",TRUE,FALSE,Miggoy,1.00,-0.93%,03/08/2024
,TRUE,03/13/2024,IOT,Momo,SINA,,"3,750.00",39.32,39.52,36.16,37.37,37.84,"1,190",TRUE,FALSE,Paul,0.00,-6.15%,03/13/2024
,TRUE,03/13/2024,AVAV,pullback,TODL,Tighten,"3,750.00",164.44,165.26,155.16,158.47,160.21,410,FALSE,TRUE,Paul,,-7.46%, 
,FALSE,03/13/2024,XLC,Coil,ODL,,"7,500.00",80.75,81.15,77.91,79.39,79.53,"2,650",FALSE,TRUE,Miggoy,,1.67%, 
,FALSE,03/13/2024,AMD,Pullback,ODL,,"7,500.00",203.56,204.58,191.38,194.26,197.98,620,FALSE,TRUE,Neil,,-7.73%, 
,TRUE,03/13/2024,VNM,,ODL,,"3,750.00",13.39,13.46,13.00,13.20,13.23,"9,620",FALSE,TRUE,Neil,,-0.29%, 
,TRUE,03/13/2024,ACMR,Pullback,TODL,,"3,750.00",29.72,29.87,27.29,28.01,28.58,"1,550",FALSE,TRUE,Miggoy,,1.63%, 
,TRUE,03/13/2024,ARDX,Reset,ODL,,"3,750.00",8.68,8.72,7.89,8.16,8.31,"4,750",FALSE,TRUE,Miggoy,,-9.72%, 
,FALSE,03/13/2024,AFRM,Reset,ODL,,"7,500.00",39.97,40.17,35.92,37.12,38.04,"1,860",TRUE,FALSE,Neil,-0.50,-2.58%,03/13/2024
,FALSE,03/14/2024,AVAV,Range,TODL,,"3,750.00",resized,,,,,,TRUE,FALSE,Miggoy,-0.25,-5.34%,03/14/2024
,FALSE,03/14/2024,XBI,Range,ODL,,"7,500.00",97.85,98.34,94.33,95.87,96.33,"2,140",FALSE,TRUE,Neil,,0.79%, 
,FALSE,03/14/2024,CRSP,Range,ODL,,"7,500.00",76.87,77.25,72.18,73.48,74.72,"1,600",FALSE,TRUE,Neil,,3.46%, 
,TRUE,03/14/2024,PLTR,Range,ODL,,"7,500.00",25.45,25.58,24.21,24.59,24.89,"6,050",FALSE,TRUE,Monette,,0.25%, 
,FALSE,03/15/2024,OZK,Reversal,ODL,Short,"7,500.00",41.77,41.56,46.00,43.18,43.78,"-1,780",FALSE,TRUE,Miggoy,,2.63%, 
,TRUE,03/18/2024,QCOM,Pullback,TODL,,"7,500.00",168.78,169.62,163.50,165.84,166.56,"1,430",FALSE,TRUE,Neil,,0.36%, 
,FALSE,03/18/2024,AMD,Range,TODL,,"7,500.00",195.57,196.55,175.90,184.48,186.22,390,FALSE,TRUE,Neil,,-6.30%, 
,TRUE,03/18/2024,ACMR,Range,TODL,,"3,750.00",28.54,28.68,25.17,26.65,26.93,"1,120",TRUE,FALSE,Paul,-0.50,5.34%,03/18/2024
,FALSE,03/19/2024,OZK,Reversal,ODL,SHORT,"3,750.00",41.99,41.78,45.16,43.17,43.47,"-1,190",FALSE,TRUE,Miggoy,,2.60%, 
,FALSE,03/19/2024,FROG,Blue sky,ODL,position trade,"3,750.00",44.10,44.32,39.00,41.79,41.66,740,TRUE,FALSE,Neil,0.00,2.93%,03/19/2024
,TRUE,03/19/2024,PLTR,Range,TODL,/2,"7,500.00",24.30,24.42,22.80,23.31,23.61,"5,000",FALSE,TRUE,Paul,,4.58%, 
,FALSE,03/20/2024,PLTR,range,SINA,,"3,750.00",24.13,24.25,22.23,22.91,23.24,"1,980",TRUE,FALSE,Paul,0.00,-0.24%,03/20/2024
,FALSE,03/20/2024,DKNG,coil,ODL,,"7,500.00",45.26,45.49,40.67,42.11,43.08,"1,640",TRUE,FALSE,Neil,0.50,-1.99%,03/20/2024
,TRUE,03/21/2024,QCOM,Range,TODL,,"7,500.00",168.17,169.01,160.00,163.69,164.51,920,FALSE,TRUE,Miggoy,,-0.91%, 
