tmpaul,,,,,,,,,,,,,,,,,,,,,,
,Core,Date Added,Stock,Setup,"Core 
Execution","Stock 
Execution",VAR,Entry Stop,Entry Limit,Sizing,Cut,-0.5R Cut Loss,Shares,Order Filled,Cancel Order,Picker,Return,7 day % change,Date,1R,2R,Possible to add shares? 
,FALSE,02/26/2026,STX,Coil,HOLD,,"12,000",434.96,437.13,363.4,400.27,400.27,170,FALSE,TRUE,Ange,,-10.33%, ,510.87,584.60,
,FALSE,03/03/2026,INTC,Falling Coil,HOLD,Swing,"12,000",46.96,47.19,41.57,44.38,44.38,"2,230",FALSE,TRUE,Miggoy,,8.54%, ,52.82,58.44,
,TRUE,03/12/2026,MP,Reset,HOLD,Position,"12,000",63.9,64.22,49.76,56.99,56.99,850,FALSE,TRUE,Neil,,-11.54%, ,78.68,93.14,
,FALSE,03/25/2026,RIG,Coil,HOLD,Swing,"3,000",6.72,6.75,5.77,6.26,6.26,"3,160",TRUE,FALSE,Neil,-0.25,-3.99%,03/25/2026,7.74,8.72,
,FALSE,04/14/2026,URA,Reset,HOLD,,"12,000",,,,,,,FALSE,FALSE,Miggoy,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0.00
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0.00
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0.00
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0.00
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0.00
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0.00
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,0.00
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
88,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, , ,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
,,,,,,,,,,,,,,FALSE,FALSE,,, ,,0.00,0.00,
